industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
公用事业-传媒,"('000155.SZ', '002624.SZ')",1.3409128594089075,694324626.7460318,6.77154142,-2.1667940104880103,1.035696722152262
公用事业-传媒,"('600863.SH', '600373.SH')",1.32187144377851,572282060.8253968,6.77154142,-2.1667940104880103,1.035696722152262
公用事业-汽车,"('600483.SH', '000559.SZ')",1.4941944216140888,378520155.04761904,9.187114370000005,-2.4318115297073026,-2.0368642608133527
公用事业-汽车,"('600578.SH', '000559.SZ')",0.7651646714162869,299747227.1111111,9.187114370000005,-2.4318115297073026,-2.0368642608133527
公用事业-交通运输,"('000155.SZ', '600153.SH')",0.6285031878944197,517959453.5079365,0.7131098399999996,-0.5223076200000001,0.7953138295751693
公用事业-交通运输,"('600863.SH', '600350.SH')",0.7147678586903382,464209278.5555556,0.7131098399999996,-0.5223076200000001,0.7953138295751693
公用事业-钢铁,"('600098.SH', '000932.SZ')",0.5096126621783211,587088675.2222222,4.304588790000001,-4.29082531,-1.4077332574821881
公用事业-钢铁,"('600642.SH', '600808.SH')",0.5294083946035748,434056277.30158734,4.304588790000001,-4.29082531,-1.4077332574821881
公用事业-食品饮料,"('601016.SH', '002507.SZ')",0.8815240174677835,358814426.3650794,-1.2210638,-1.1027082708756504,0.08046940613863081
公用事业-食品饮料,"('600098.SH', '002507.SZ')",0.9165386839133376,310299706.0952381,-1.2210638,-1.1027082708756504,0.08046940613863081
公用事业-煤炭,"('000155.SZ', '600157.SH')",0.7423629262305768,1271982354.7777777,96.9758405,-8.50369106540893,-1.7831137060062878
公用事业-煤炭,"('600021.SH', '002128.SZ')",1.4297508250536548,658378962.3809524,96.9758405,-8.50369106540893,-1.7831137060062878
公用事业-房地产,"('600863.SH', '600325.SH')",0.521591048509183,646369303.8412699,-1.00019494,-1.1034589398570813,0.07219445634001861
公用事业-房地产,"('601991.SH', '600325.SH')",0.5767606609232436,602675172.6031746,-1.00019494,-1.1034589398570813,0.07219445634001861
公用事业-银行,"('000155.SZ', '002966.SZ')",0.7226852195224126,565785908.5238094,35.98370275999999,-1.3570325251169937,1.6931335659490547
公用事业-银行,"('000155.SZ', '601128.SH')",0.7128423938303533,467625241.7301587,35.98370275999999,-1.3570325251169937,1.6931335659490547
公用事业-石油石化,"('601991.SH', '601233.SH')",1.2730246396153253,665433961.8095238,-26.63174594,-2.4635936086321193,0.021877804892211458
公用事业-石油石化,"('000883.SZ', '601233.SH')",1.020336615202192,521418716.7301587,-26.63174594,-2.4635936086321193,0.021877804892211458
公用事业-环保,"('000155.SZ', '300070.SZ')",0.5444325106747093,441614415.84126985,16.259093879999998,-2.263754183345806,-1.8956256581763717
公用事业-环保,"('600642.SH', '603568.SH')",1.1041778568892766,340008816.4126984,16.259093879999998,-2.263754183345806,-1.8956256581763717
公用事业-家用电器,"('600642.SH', '002429.SZ')",0.5072080749587473,579515993.2539682,-31394.730999009997,-5.771413325152828,-4.382907028485732
公用事业-家用电器,"('000155.SZ', '002508.SZ')",1.4560057795043404,413443070.6825397,-31394.730999009997,-5.771413325152828,-4.382907028485732
